Country,Year,BEV
France,2008,0
France,2009,393
France,2010,796
France,2011,1683
France,2012,3651
France,2013,4756
France,2014,3476
France,2015,3710
France,2016,4220
France,2017,5311
France,2018,7742
France,2019,7699
France,2020,8757
France,2021,11406
France,2022,15412
France,2023,27583
France,2024,26952
France,2025,8011
Germany,2008,0
Germany,2009,0
Germany,2010,0
Germany,2011,0
Germany,2012,0
Germany,2013,0
Germany,2014,0
Germany,2015,2452
Germany,2016,4897
Germany,2017,10466
Germany,2018,15351
Germany,2019,20330
Germany,2020,25082
Germany,2021,40830
Germany,2022,60021
Germany,2023,72643
Germany,2024,86423
Germany,2025,90213
Sweden,2008,156
Sweden,2009,152
Sweden,2010,133
Sweden,2011,115
Sweden,2012,366
Sweden,2013,548
Sweden,2014,833
Sweden,2015,1244
Sweden,2016,1552
Sweden,2017,1947
Sweden,2018,2661
Sweden,2019,3946
Sweden,2020,5894
Sweden,2021,8578
Sweden,2022,13530
Sweden,2023,20870
Sweden,2024,28223
Sweden,2025,29410
